Plugin,Max,Min,Median,Average,Deviation
barbar.nvim,8.23100,6.63600,7.21200,7.43480,0.58955
nvim-treesitter,1.86800,1.58100,1.63800,1.67160,0.09163
ale,1.44700,1.03500,1.18450,1.19820,0.13470
editorconfig-vim,1.29900,1.07700,1.17250,1.16770,0.06311
telescope.nvim,0.37600,0.29600,0.31050,0.32400,0.02799
vim-rooter,0.22900,0.19000,0.20400,0.20900,0.01430
open-browser.vim,0.20700,0.16700,0.18200,0.18590,0.01219
vim-commentary,0.18200,0.15200,0.15800,0.16200,0.01052
vim-easy-align,0.16500,0.14300,0.14800,0.15030,0.00654
vim-startify,0.20600,0.10800,0.11850,0.12640,0.02746
vim-toml,0.13100,0.07900,0.08650,0.09370,0.01592
plantuml-syntax,0.08800,0.08200,0.08600,0.08560,0.00185
vim-just,0.06600,0.05700,0.06050,0.06100,0.00224
nvim-web-devicons,0.05800,0.04500,0.04850,0.04960,0.00380
plenary.nvim,0.05500,0.04600,0.04800,0.04880,0.00252
plantuml-previewer.vim,0.04800,0.04000,0.04050,0.04160,0.00246
